"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis"
"g__Desulfovibrionaceae.unidentified",-0.165441921867316,-0.148150760460097,-0.148150760460097,0.140260213393321,0.240476135365904,-0.161800612585021,-0.183944166387799,0.00396546057129763,0.00396546057129763,0.00396546057129763,-0.209683561115598,0.0533946669027856,0.0533946669027856,0.0533946669027856,0.203367875647668,-0.0569721814993405,0.389234605540219,0.389234605540219,-0.16402622742171,1,1,-0.116577951409252,-0.116577951409252,-0.0687992436768009,-0.087915867023877,-0.059447385661511,0.0770235343996875,-0.059447385661511,-0.180901881098306,-0.23365968324712,-0.154874088184798,-0.188522433217086,-0.247030436829763,-0.188522433217086,-0.087915867023877,-0.193151427423721,-0.193151427423721,-0.0993070740063617,-0.19853182216508,-0.130071843887424,-0.130071843887424,-0.264456638798506,-0.111051621503845,-0.0756131508376434,-0.0756131508376434,-0.173919131911229
"f__Brevibacteriaceae",0.137865477903731,0.011415495362168,0.011415495362168,-0.0701286873318277,-0.0897166403015836,-0.11376375321004,0.0340350327269426,-0.122678953472124,-0.122678953472124,-0.122678953472124,0.791683038873441,0.746788672507338,0.746788672507338,0.746788672507338,-0.116577951409252,-0.188507079390628,-0.0948966093350029,-0.0948966093350029,-0.0746243927455112,-0.116577951409252,-0.116577951409252,1,1,-0.085997314059169,0.286299167156934,0.104495242683715,-0.0522886256214728,0.104495242683715,-0.12719406081164,0.610799257876236,-0.0598915016202113,0.0396947624183046,-0.151387184261007,0.0396947624183046,-0.0780815910428002,0.209798166350631,0.209798166350631,-0.069823873215155,0.0507599499055378,0.128036879932896,0.128036879932896,0.531263745109581,0.286299167156934,-0.0531644206650152,-0.0531644206650152,-0.0815229431052856
"s__Brevibacterium.sp",0.137865477903731,0.011415495362168,0.011415495362168,-0.0701286873318277,-0.0897166403015836,-0.11376375321004,0.0340350327269426,-0.122678953472124,-0.122678953472124,-0.122678953472124,0.791683038873441,0.746788672507338,0.746788672507338,0.746788672507338,-0.116577951409252,-0.188507079390628,-0.0948966093350029,-0.0948966093350029,-0.0746243927455112,-0.116577951409252,-0.116577951409252,1,1,-0.085997314059169,0.286299167156934,0.104495242683715,-0.0522886256214728,0.104495242683715,-0.12719406081164,0.610799257876236,-0.0598915016202113,0.0396947624183046,-0.151387184261007,0.0396947624183046,-0.0780815910428002,0.209798166350631,0.209798166350631,-0.069823873215155,0.0507599499055378,0.128036879932896,0.128036879932896,0.531263745109581,0.286299167156934,-0.0531644206650152,-0.0531644206650152,-0.0815229431052856
"s__ramosum",-0.201898835393846,-0.197616600482011,-0.197616600482011,-0.0919709009227449,-0.141191638689983,-0.159142936003885,-0.185683893516588,-0.134561226070363,-0.134561226070363,-0.134561226070363,-0.194938589277207,-0.0766473460499749,-0.0766473460499749,-0.0766473460499749,-0.0687992436768009,-0.0527401201617433,-0.149343619345225,-0.149343619345225,-0.110322613352957,-0.0687992436768009,-0.0687992436768009,-0.085997314059169,-0.085997314059169,1,0.150187852296528,-0.138868446999993,-0.00783707322619481,-0.138868446999993,-0.0597003497634768,-0.160207641600405,-0.114247638084662,0.0535454279901394,-0.00567251689282182,0.0535454279901394,-0.031858029275021,-0.0786119147744481,-0.0786119147744481,-0.0869925922093923,-0.0698980749003882,0.047975749589962,0.047975749589962,-0.222953805065822,0.0136534411178662,-0.0836675520668665,-0.0836675520668665,0.163934801002966
"s__Sphingomonas.sp",0.0510727861575991,-0.0471221768035259,-0.0471221768035259,-0.167010664280671,-0.0854636598166996,-0.108370829214413,-0.0367444981100594,-0.116863408069743,-0.116863408069743,-0.116863408069743,0.0359120775989246,-0.097944650594101,-0.097944650594101,-0.097944650594101,-0.111051621503845,0.0279332633558457,-0.0903980745456177,-0.0903980745456177,-0.0883200307984663,-0.087915867023877,-0.087915867023877,0.286299167156934,0.286299167156934,0.150187852296528,1,0.236688015169782,0.0308347029714188,0.236688015169782,-0.0999075525300587,0.162777945157703,0.337127638454882,0.0414142912245629,0.0309023007791113,0.0414142912245629,-0.046831955922865,0.808927880366694,0.808927880366694,0.0997708517754042,0.209532679756843,0.0290398438636336,0.0290398438636336,0.0870101433973626,0.972451790633609,-0.050644183139196,-0.050644183139196,-0.0517722543137727
"s__Tepidimonas.sp",0.54484575812493,0.532638061146435,0.532638061146435,-0.223507483155806,0.0158364744415193,0.49310474109217,0.671666176003305,-0.190519101786699,-0.190519101786699,-0.190519101786699,0.0329557798387941,-0.231800443430632,-0.231800443430632,-0.231800443430632,-0.170911233776844,-0.358872990491261,-0.169369451317274,-0.169369451317274,-0.0847560191122561,-0.059447385661511,-0.059447385661511,0.104495242683715,0.104495242683715,-0.138868446999993,0.236688015169782,1,0.0514232233804909,1,-0.0904639291750254,0.634061912017519,-0.0763521993572524,0.198080662259834,0.0992544350474112,0.198080662259834,0.148206514171733,0.515814761090006,0.515814761090006,0.0311550412026567,0.13912846523912,0.349771686558974,0.349771686558974,0.357887591444328,0.236688015169782,0.176218209133888,0.176218209133888,-0.0796787992858717
"f__Microbacteriaceae",0.169612680075782,0.172691860106668,0.172691860106668,-0.0639093980886785,-0.13647666482256,-0.0725723136708994,-0.0378403391918991,-0.105701155297708,-0.105701155297708,-0.105701155297708,0.0235583169666418,-0.158304290364976,-0.158304290364976,-0.158304290364976,-0.0823355022893211,-0.130560040015465,0.0210024806920854,0.0210024806920854,0.0414220840033782,0.0770235343996875,0.0770235343996875,-0.0522886256214728,-0.0522886256214728,-0.00783707322619481,0.0308347029714188,0.0514232233804909,1,0.0514232233804909,-0.110423326023024,0.115302169876451,-0.210877606847647,0.350892397369503,-0.0374467119272859,0.350892397369503,0.149429714399953,0.027313205075884,0.027313205075884,0.0461329216673823,0.452175438411785,0.541738150722271,0.541738150722271,0.0545304861238896,0.0308347029714188,-0.0920542203489317,-0.0920542203489317,0.104010432698867
"g__Tepidimonas",0.54484575812493,0.532638061146435,0.532638061146435,-0.223507483155806,0.0158364744415193,0.49310474109217,0.671666176003305,-0.190519101786699,-0.190519101786699,-0.190519101786699,0.0329557798387941,-0.231800443430632,-0.231800443430632,-0.231800443430632,-0.170911233776844,-0.358872990491261,-0.169369451317274,-0.169369451317274,-0.0847560191122561,-0.059447385661511,-0.059447385661511,0.104495242683715,0.104495242683715,-0.138868446999993,0.236688015169782,1,0.0514232233804909,1,-0.0904639291750254,0.634061912017519,-0.0763521993572524,0.198080662259834,0.0992544350474112,0.198080662259834,0.148206514171733,0.515814761090006,0.515814761090006,0.0311550412026567,0.13912846523912,0.349771686558974,0.349771686558974,0.357887591444328,0.236688015169782,0.176218209133888,0.176218209133888,-0.0796787992858717
"s__hathewayi",-0.213935173759818,-0.194856146955197,-0.194856146955197,0.071594355761661,-0.139219370388495,-0.157952278657733,-0.184016694244665,0.219516658160212,0.219516658160212,0.219516658160212,-0.077853893177971,0.0769025864005773,0.0769025864005773,0.0769025864005773,-0.0737889251848355,-0.0708204299578296,-0.0808255331488024,-0.0808255331488024,0.319695851466778,-0.180901881098306,-0.180901881098306,-0.12719406081164,-0.12719406081164,-0.0597003497634768,-0.0999075525300587,-0.0904639291750254,-0.110423326023024,-0.0904639291750254,1,-0.0703737392633685,0.344625399013215,-0.102352982728093,0.310868560211473,-0.102352982728093,-0.0999075525300587,0.0795536429250955,0.0795536429250955,0.0199592879141082,-0.169972281598495,-0.0971009461579528,-0.0971009461579528,-0.129254619138864,-0.0999075525300587,0.308285073074297,0.308285073074297,0.10985930742175
"g__Staphylococcus",0.474685748924718,0.404820297487591,0.404820297487591,-0.151641956657344,-0.163463184815973,0.317902183355127,0.444741815627471,-0.127628049762511,-0.127628049762511,-0.127628049762511,0.63745607261656,0.306759865666848,0.306759865666848,0.306759865666848,-0.146400880374752,-0.386294646978293,-0.2020416852551,-0.2020416852551,-0.11013320046691,-0.23365968324712,-0.23365968324712,0.610799257876236,0.610799257876236,-0.160207641600405,0.162777945157703,0.634061912017519,0.115302169876451,0.634061912017519,-0.0703737392633685,1,-0.0362253696315881,0.351634426701344,0.0510810402688419,0.351634426701344,-0.114290897663919,0.458639856448973,0.458639856448973,0.252025211125185,0.222053309697625,0.316410363144565,0.316410363144565,0.731493373737695,0.162777945157703,0.205158439958516,0.205158439958516,0.0650880716156635
